experiment,block,method,retention,worst_pair,new_learning,below_chance,unused_presented
EXP-008,block_1012,ordinary,0.9382132830364158,0.6896519784010953,0.9873266125794562,0.0,0.4186440677966102
EXP-008,block_1012,homeostasis,0.9341753952193552,0.8044160943181615,0.9890180360842005,0.0,0.2796610169491525
EXP-008,block_1013,ordinary,0.9237661149833776,0.6269618460334986,0.9791525911928429,0.0,0.43728813559322033
EXP-008,block_1013,homeostasis,0.9603067558781637,0.8218926152656247,0.9866660633180302,0.0,0.30677966101694915
EXP-008,block_1014,ordinary,0.9217773768452118,0.5491156867992082,0.9867238912080587,0.0,0.3389830508474576
EXP-008,block_1014,homeostasis,0.9109763120215255,0.3287702058017337,0.9904623628824124,0.0625,0.211864406779661
EXP-008,block_1015,ordinary,0.9275130201978407,0.530132713851631,0.9794563142108823,0.0,0.46440677966101696
EXP-008,block_1015,homeostasis,0.9337234770172103,0.6774980375629772,0.9874850652954851,0.0,0.30338983050847457
EXP-008,block_1016,ordinary,0.9472310493053926,0.6379155668109251,0.9824683996799611,0.0,0.2864406779661017
EXP-008,block_1016,homeostasis,0.9220054571065283,0.4763797096839869,0.9884941999998392,0.0625,0.15423728813559323
EXP-008,block_1017,ordinary,0.9665453520393206,0.7567914994839706,0.9916028057050352,0.0,0.42542372881355933
EXP-008,block_1017,homeostasis,0.956003229398775,0.7445433049271346,0.9902718497596934,0.0,0.2966101694915254
EXP-008,block_1018,ordinary,0.9000527688230635,0.27306236697491737,0.9860367108212423,0.125,0.3169491525423729
EXP-008,block_1018,homeostasis,0.9285736249248921,0.5047758548780579,0.989527184504337,0.0,0.21016949152542372
EXP-008,block_1019,ordinary,0.9253146883079049,0.5942960560494486,0.988167009543067,0.0,0.3813559322033898
EXP-008,block_1019,homeostasis,0.9338075631132039,0.5625604428270601,0.9926322387539857,0.0,0.2677966101694915
EXP-008,block_1020,ordinary,0.9782318185519618,0.8966860661096192,0.9873225944519233,0.0,0.376271186440678
EXP-008,block_1020,homeostasis,0.982876416676002,0.9181894654125478,0.9836949246602911,0.0,0.21525423728813559
EXP-008,block_1021,ordinary,0.8868414928898727,0.4879685244339402,0.9793363686603309,0.0625,0.3949152542372881
EXP-008,block_1021,homeostasis,0.8858497658195721,0.3962808548277105,0.9789353474328812,0.0625,0.26440677966101694
EXP-008,block_1022,ordinary,0.9421667665408766,0.5095491989528804,0.9830577272726826,0.0,0.3983050847457627
EXP-008,block_1022,homeostasis,0.9721020869644683,0.8727097826642544,0.9848088498746278,0.0,0.27796610169491526
EXP-008,block_1023,ordinary,0.9248573419128115,0.5862922475222812,0.982491262882276,0.0,0.4271186440677966
EXP-008,block_1023,homeostasis,0.9178434673377227,0.5204669669935342,0.9872126779993563,0.0,0.2711864406779661
