source,sha256,key,mean,lower,upper,scale,interval_status,n,unit
results/exp007_confirmation/geometry.json,fee025f4d2e1771e715cd74e66818f5a714170de30ab2ddb9bc01ea481d9e64d,2_total_4_False_direct/old_pair_margin_abs_change,0.024488151463816797,0.02208515648699758,0.026932652496709324,original proportions unless geometry/count,95% descriptive,32,task block conditional on fixed anatomy
results/exp007_confirmation/geometry.json,fee025f4d2e1771e715cd74e66818f5a714170de30ab2ddb9bc01ea481d9e64d,2_total_4_False_oracle/unused_presented,0.75,0.75,0.75,original proportions unless geometry/count,95% descriptive,32,task block conditional on fixed anatomy
results/exp007_confirmation/geometry.json,fee025f4d2e1771e715cd74e66818f5a714170de30ab2ddb9bc01ea481d9e64d,2_total_4_False_oracle/effective_presented,8.0,8.0,8.0,original proportions unless geometry/count,95% descriptive,32,task block conditional on fixed anatomy
results/exp007_confirmation/geometry.json,fee025f4d2e1771e715cd74e66818f5a714170de30ab2ddb9bc01ea481d9e64d,2_total_4_False_oracle/unused_chosen,0.75,0.75,0.75,original proportions unless geometry/count,95% descriptive,32,task block conditional on fixed anatomy
results/exp007_confirmation/geometry.json,fee025f4d2e1771e715cd74e66818f5a714170de30ab2ddb9bc01ea481d9e64d,2_total_4_False_oracle/effective_chosen,4.286779178404925,4.256285398616621,4.319344400818876,original proportions unless geometry/count,95% descriptive,32,task block conditional on fixed anatomy
results/exp007_confirmation/geometry.json,fee025f4d2e1771e715cd74e66818f5a714170de30ab2ddb9bc01ea481d9e64d,2_total_4_False_oracle/noise_stability,1.0,1.0,1.0,original proportions unless geometry/count,95% descriptive,32,task block conditional on fixed anatomy
results/exp007_confirmation/geometry.json,fee025f4d2e1771e715cd74e66818f5a714170de30ab2ddb9bc01ea481d9e64d,2_total_4_False_oracle/cross_memory_cosine,0.0,0.0,0.0,original proportions unless geometry/count,95% descriptive,32,task block conditional on fixed anatomy
results/exp007_confirmation/geometry.json,fee025f4d2e1771e715cd74e66818f5a714170de30ab2ddb9bc01ea481d9e64d,2_total_4_False_oracle/collision_fraction,0.0,0.0,0.0,original proportions unless geometry/count,95% descriptive,32,task block conditional on fixed anatomy
results/exp007_confirmation/geometry.json,fee025f4d2e1771e715cd74e66818f5a714170de30ab2ddb9bc01ea481d9e64d,2_total_4_False_oracle/clipped_coordinate_fraction,0.00133514404296875,0.00115966796875,0.001514434814453125,original proportions unless geometry/count,95% descriptive,32,task block conditional on fixed anatomy
results/exp007_confirmation/geometry.json,fee025f4d2e1771e715cd74e66818f5a714170de30ab2ddb9bc01ea481d9e64d,2_total_4_False_oracle/update_norm,0.00928092626074893,0.009096885295128261,0.00946131318722869,original proportions unless geometry/count,95% descriptive,32,task block conditional on fixed anatomy
results/exp007_confirmation/geometry.json,fee025f4d2e1771e715cd74e66818f5a714170de30ab2ddb9bc01ea481d9e64d,2_total_4_False_oracle/old_pair_margin_abs_change,0.0,0.0,0.0,original proportions unless geometry/count,95% descriptive,32,task block conditional on fixed anatomy
