overlap,regime,load,shift,method,pair,subsequent_presentations,retention,lower95,upper95,forgetting,lower95_forgetting,upper95_forgetting
5,per_pair,4,False,matched_sham,3,0,0.9826816778007398,0.9538422889345982,0.9977617123252913,0.0,0.0,0.0
5,per_pair,16,False,baseline_high,0,1920,0.9724016637463567,0.951978589262061,0.9874266638177771,0.025733196239274083,0.011110045475002876,0.04595789977737516
5,per_pair,16,False,baseline_high,1,1792,0.9385364748094922,0.8825729519161227,0.9817108492841249,0.05099406656104887,0.012106364965861977,0.10287468811475806
5,per_pair,16,False,baseline_high,2,1664,0.9542208923276103,0.9204968426643052,0.9815501368001801,0.040007069119390275,0.01305810313975801,0.07355799901387228
5,per_pair,16,False,baseline_high,3,1536,0.9667963626374217,0.942818439646072,0.9857322086231446,0.01551725643459736,0.0028933759108516056,0.03072990450969894
5,per_pair,16,False,baseline_high,4,1408,0.9655900560647163,0.9368808370505626,0.986465575080642,0.02523229414640954,0.006423929755579285,0.05113907578257825
5,per_pair,16,False,baseline_high,5,1280,0.9645502663841153,0.9380968980979516,0.9834129367613054,0.027837677134395545,0.010090511101279823,0.05271202758068744
5,per_pair,16,False,baseline_high,6,1152,0.9640232650218755,0.9372305323038005,0.9851906782803179,0.025843961489397427,0.0065774928335510605,0.050345359707672774
5,per_pair,16,False,baseline_high,7,1024,0.9526180881069903,0.9135717708953736,0.9810160644919063,0.03669607761731735,0.013340165526063798,0.0666633702533117
5,per_pair,16,False,baseline_high,8,896,0.9421452598891648,0.8771964918403989,0.9817072537237459,0.04303850380042935,0.008802026352338531,0.09838751148100423
5,per_pair,16,False,baseline_high,9,768,0.9799894395862708,0.9655398101846411,0.9904710321428101,0.012853127738280859,0.0023797215881725476,0.027460996878550636
5,per_pair,16,False,baseline_high,10,640,0.9683735391008534,0.9390587214850442,0.9885842104589695,0.01397902290432472,0.0008631351216084788,0.03378130771128566
5,per_pair,16,False,baseline_high,11,512,0.9837464597383745,0.9691352472769692,0.993034082661827,0.006138805209789253,-0.00373372201737771,0.020389050050329417
5,per_pair,16,False,baseline_high,12,384,0.9861571592016869,0.9785418348839792,0.9927438492713039,-0.0009235647229454275,-0.009291331177271408,0.006192880686449311
5,per_pair,16,False,baseline_high,13,256,0.9839192382690604,0.9758289806502586,0.9904742386690905,0.0039006370092847984,-0.001562125504943145,0.010226347295668613
5,per_pair,16,False,baseline_high,14,128,0.9735377643624789,0.9422718942695447,0.9923139733048936,0.006831680170349662,0.0011349243500561638,0.01653089123969004
5,per_pair,16,False,baseline_high,15,0,0.9770686282177193,0.9463495686228444,0.9951741310782309,0.0,0.0,0.0
5,per_pair,16,False,ordinary,0,1920,0.974027714756552,0.9489240978298955,0.9895107736499686,0.02441738500710776,0.009240884741716963,0.04920169602888225
5,per_pair,16,False,ordinary,1,1792,0.9663681987678937,0.9467211628183914,0.9833801373728025,0.0270536832321258,0.011762239851822598,0.04533375678989997
5,per_pair,16,False,ordinary,2,1664,0.963034484954561,0.9336665115487655,0.9857003925344158,0.031845358618740306,0.010249974328226556,0.05945035511632561
5,per_pair,16,False,ordinary,3,1536,0.9686803818832153,0.9431017806595718,0.9872473679891779,0.015384618075271467,0.00573605772711737,0.026662641119485315
