overlap,regime,load,family,metric,mean,lower95,upper95
2,per_pair,16,oracle,noise_reversal,0.9965560424791171,0.9941926589579916,0.9980611787905024
2,total,2,native4,retention,0.9425541238945314,0.9052148991049552,0.9733561728705592
2,total,2,native4,worst_pair,0.8884776032166266,0.8145300417233641,0.9489919075810934
2,total,2,native4,new_learning,0.9863102777444706,0.9684910309010635,0.9970240503833104
2,total,2,native4,forgetting,0.043756153849939125,0.018071092795264202,0.0764928125996561
2,total,2,native4,noise_retention,0.9306148787247321,0.896979172413338,0.9598071947577912
2,total,2,native4,reversal,0.970238393220565,0.9317362652463396,0.9942207821564817
2,total,2,native4,unchanged_after_reversal,0.8996095938610033,0.802999254553035,0.9774868500370176
2,total,2,native4,noise_reversal,0.963438071424811,0.9377280659153888,0.9833900475464379
2,total,2,native6,retention,0.9785236023119372,0.9516023920463362,0.9933782093959342
2,total,2,native6,worst_pair,0.9581168234028419,0.9043302132416444,0.987803516302082
2,total,2,native6,new_learning,0.9933999032675624,0.9851869676280589,0.9979890585947004
2,total,2,native6,forgetting,0.014876300955625175,0.003784816621324446,0.03429077423226997
2,total,2,native6,noise_retention,0.9671833050191283,0.9430765511798197,0.9823031313787793
2,total,2,native6,reversal,0.9815200493870608,0.9559864338476305,0.9962270162085102
2,total,2,native6,unchanged_after_reversal,0.953395266578541,0.8959727217729351,0.989230788617441
2,total,2,native6,noise_reversal,0.9682352246254491,0.938405607224861,0.987381528180615
2,total,2,direct,retention,0.9917814316832523,0.9820800182705955,0.9971446081622197
2,total,2,direct,worst_pair,0.9843432596448588,0.9650436577798885,0.9949868251211115
2,total,2,direct,new_learning,0.9930789536080331,0.984087794721062,0.9980047527031058
2,total,2,direct,forgetting,0.0012975219247808954,0.0003168512730568445,0.002501588617598281
2,total,2,direct,noise_retention,0.9838884846179476,0.9720492047288708,0.9910872213568267
2,total,2,direct,reversal,0.9869753840571958,0.9678518495355838,0.99744040885421
2,total,2,direct,unchanged_after_reversal,0.9687450649318011,0.9262786884743851,0.9961187637453243
2,total,2,direct,noise_reversal,0.9787304895559996,0.9551272530324305,0.9924595963367859
2,total,2,random4,retention,0.9674933907767808,0.9432337993866005,0.985752458795311
2,total,2,random4,worst_pair,0.9372274044711144,0.8891481492108775,0.9733087210054465
2,total,2,random4,new_learning,0.9881452550203789,0.9724593998328785,0.9966288487107675
2,total,2,random4,forgetting,0.02065186424359817,0.00849578954565264,0.03530304625758006
2,total,2,random4,noise_retention,0.9509371049491229,0.9278924055810227,0.9689156670817795
2,total,2,random4,reversal,0.9799776991304203,0.9685599981918651,0.989910870123325
2,total,2,random4,unchanged_after_reversal,0.9029349357837357,0.824067537705116,0.9655369443165457
2,total,2,random4,noise_reversal,0.9568637614598667,0.9397826687034976,0.9721132068813113
2,total,2,random6,retention,0.9766747900137538,0.9560395833272407,0.9911459519697478
2,total,2,random6,worst_pair,0.9547205656594151,0.9134078512077722,0.9837000193220902
2,total,2,random6,new_learning,0.9919268460999144,0.982668230901623,0.9970519114545768
2,total,2,random6,forgetting,0.015252056086160544,0.0049383977745087486,0.028097085054809533
2,total,2,random6,noise_retention,0.9588729611300006,0.9396306738468685,0.9732772475348686
2,total,2,random6,reversal,0.9859789203780648,0.9720853777762966,0.9954220183899936
2,total,2,random6,unchanged_after_reversal,0.9269605268990084,0.8522455105717386,0.9817860491085754
2,total,2,random6,noise_reversal,0.9692978998989246,0.9519343926535435,0.982861112023183
2,total,2,oracle,retention,0.9960136644719,0.9914348508680287,0.9986115950374614
2,total,2,oracle,worst_pair,0.9925636051868838,0.9834694427617681,0.9976898703231452
2,total,2,oracle,new_learning,0.9960136644719,0.9914348508680287,0.9986115950374614
2,total,2,oracle,forgetting,0.0,0.0,0.0
2,total,2,oracle,noise_retention,0.9960136644719,0.9914348508680287,0.9986115950374614
2,total,2,oracle,reversal,0.9930464771887423,0.9830535937559525,0.9987455241419226
2,total,2,oracle,unchanged_after_reversal,0.9989675210213167,0.998410064490844,0.9994051116459978
2,total,2,oracle,noise_reversal,0.9930464771887423,0.9830535937559525,0.9987455241419226
2,total,4,native4,retention,0.9181449491537013,0.886979794432465,0.9458466339631023
2,total,4,native4,worst_pair,0.7351803508557393,0.6430987994480132,0.8221708656021128
2,total,4,native4,new_learning,0.991810076779823,0.9876934365719193,0.995376876241295
2,total,4,native4,forgetting,0.07366512762612168,0.04712923415790119,0.10355550312735291
2,total,4,native4,noise_retention,0.89459145488616,0.864998671136436,0.9208900666481232
2,total,4,native4,reversal,0.953347288502072,0.9187760488285649,0.9783777836097746
2,total,4,native4,unchanged_after_reversal,0.8377986465590701,0.7559908372023396,0.9091134983652946
2,total,4,native4,noise_reversal,0.920188649547299,0.8897874260746185,0.9446553208540286
2,total,4,native6,retention,0.9615731285086707,0.9406416432106055,0.9792700858289769
2,total,4,native6,worst_pair,0.8646624109047093,0.7839018875675564,0.9316753975248789
2,total,4,native6,new_learning,0.9915669686658712,0.987566654171663,0.9950372097918243
2,total,4,native6,forgetting,0.029993840157200607,0.012507390861840113,0.050573092241864424
2,total,4,native6,noise_retention,0.9415221602125919,0.9223338494388164,0.9578635488670254
2,total,4,native6,reversal,0.9630606519676135,0.9328100793102173,0.9857296370530282
2,total,4,native6,unchanged_after_reversal,0.8468528248718911,0.7598380536548154,0.9235889491916396
2,total,4,native6,noise_reversal,0.9429576852408409,0.9177866712917784,0.964102391550873
2,total,4,direct,retention,0.9820629300916022,0.9681374311700168,0.9910318843183606
2,total,4,direct,worst_pair,0.938744887909622,0.8839462101003399,0.9727749270964098
2,total,4,direct,new_learning,0.992203279994322,0.9871358155154262,0.9956154939766965
2,total,4,direct,forgetting,0.010140349902719805,-5.760672424669852e-05,0.02426419917811153
2,total,4,direct,noise_retention,0.9666067552220562,0.9532818869853344,0.9768725584010864
2,total,4,direct,reversal,0.9774431538958888,0.9561687371437265,0.9913645528189854
2,total,4,direct,unchanged_after_reversal,0.9318097993405116,0.8774505346090207,0.974879438634668
2,total,4,direct,noise_reversal,0.9632621519956048,0.9415830239900689,0.9792938837594111
2,total,4,random4,retention,0.9215255550979959,0.8952592587000877,0.9442541037453902
2,total,4,random4,worst_pair,0.7632907556330852,0.6941198317203288,0.8280204541686712
2,total,4,random4,new_learning,0.9882167945104825,0.9822694161672438,0.9931229371278052
2,total,4,random4,forgetting,0.0666912394124866,0.04464065137754048,0.09212142276225549
2,total,4,random4,noise_retention,0.8922826050053072,0.8685457240377633,0.9142194727574534
2,total,4,random4,reversal,0.9479155113621233,0.9265570771306213,0.9670331383665017
2,total,4,random4,unchanged_after_reversal,0.8005311411631393,0.7327179903135691,0.8638239930360814
2,total,4,random4,noise_reversal,0.9197327194677003,0.9004978760298791,0.9372499460683118
2,total,4,random6,retention,0.9540899418281374,0.9322036283730883,0.9719901163477765
2,total,4,random6,worst_pair,0.8517418765379731,0.7808665685870603,0.9105238812881804
2,total,4,random6,new_learning,0.9911084805194379,0.9869245868158312,0.9944202890091366
2,total,4,random6,forgetting,0.03701853869130048,0.019716454330044982,0.058499420262994296
2,total,4,random6,noise_retention,0.9227892428820902,0.9004247544073907,0.9424304415166043
2,total,4,random6,reversal,0.9719388170342116,0.9578521228991326,0.9841234909554489
2,total,4,random6,unchanged_after_reversal,0.8409471689238763,0.778227955415575,0.8996166284840621
2,total,4,random6,noise_reversal,0.9442095388048766,0.9299354007021889,0.9572912444713392
2,total,4,oracle,retention,0.9968170332668411,0.9954231095585246,0.9979979044419481
2,total,4,oracle,worst_pair,0.9900247076563211,0.9846863376607693,0.9944944046727248
2,total,4,oracle,new_learning,0.9968170332668411,0.9954231095585246,0.9979979044419481
2,total,4,oracle,forgetting,0.0,0.0,0.0
2,total,4,oracle,noise_retention,0.9968170332668411,0.9954231095585246,0.9979979044419481
2,total,4,oracle,reversal,0.990930709642818,0.9813109723430383,0.9969719475292634
