overlap,regime,load,shift,method,metric,mean,lower95,upper95
2,per_pair,8,False,fixed_sham,worst_pair,0.47532199959060756,0.3571416514273008,0.5963948450621485
2,per_pair,8,False,fixed_sham,new_learning,0.9944005942019876,0.9908351659659104,0.9970576238855211
2,per_pair,8,False,fixed_sham,forgetting,0.10050338451305829,0.07232393058401439,0.13030812028086167
2,per_pair,8,False,fixed_sham,noise_retention,0.8688992593899496,0.8423206921145728,0.894530685808976
2,per_pair,8,False,fixed_sham,reversal,0.9016946913415045,0.8621137238704029,0.9382983308850171
2,per_pair,8,False,fixed_sham,unchanged,0.7531091291185403,0.6927420622448508,0.8123443392478604
2,per_pair,8,False,fixed_sham,below_chance,0.08723958333333333,0.057291666666666664,0.11848958333333334
2,per_pair,16,False,baseline6,retention,0.7928257760509045,0.7661833174237747,0.8199203982736107
2,per_pair,16,False,baseline6,worst_pair,0.14721762338762046,0.08536510209556569,0.21456258959319977
2,per_pair,16,False,baseline6,new_learning,0.9935052626480256,0.9903667510482542,0.9960748853004591
2,per_pair,16,False,baseline6,forgetting,0.20067948659712112,0.1732213189176619,0.22769603610566413
2,per_pair,16,False,baseline6,noise_retention,0.7582407019632769,0.7346352271781807,0.7819548232728869
2,per_pair,16,False,baseline6,reversal,0.8459916616599814,0.8112927854993769,0.8774733893945899
2,per_pair,16,False,baseline6,unchanged,0.6045086221094642,0.5597663559070725,0.6491662240589137
2,per_pair,16,False,baseline6,below_chance,0.18359375,0.1484375,0.21875
2,per_pair,16,False,ordinary,retention,0.7928257760509045,0.7661833174237747,0.8199203982736107
2,per_pair,16,False,ordinary,worst_pair,0.14721762338762046,0.08536510209556569,0.21456258959319977
2,per_pair,16,False,ordinary,new_learning,0.9935052626480256,0.9903667510482542,0.9960748853004591
2,per_pair,16,False,ordinary,forgetting,0.20067948659712112,0.1732213189176619,0.22769603610566413
2,per_pair,16,False,ordinary,noise_retention,0.7582407019632769,0.7346352271781807,0.7819548232728869
2,per_pair,16,False,ordinary,reversal,0.8459916616599814,0.8112927854993769,0.8774733893945899
2,per_pair,16,False,ordinary,unchanged,0.6045086221094642,0.5597663559070725,0.6491662240589137
2,per_pair,16,False,ordinary,below_chance,0.18359375,0.1484375,0.21875
2,per_pair,16,False,homeostasis,retention,0.7868774140140913,0.7631425202603843,0.8111340362502809
2,per_pair,16,False,homeostasis,worst_pair,0.1107125462320262,0.06052571003060124,0.17197272126102675
2,per_pair,16,False,homeostasis,new_learning,0.9918190560092052,0.9877102798764528,0.9953461226363671
2,per_pair,16,False,homeostasis,forgetting,0.20494164199511383,0.18109732385661648,0.22830201994442806
2,per_pair,16,False,homeostasis,noise_retention,0.7524334968773512,0.7311923217098913,0.7743398266256288
2,per_pair,16,False,homeostasis,reversal,0.8524386781416472,0.8168488481808502,0.884602020254523
2,per_pair,16,False,homeostasis,unchanged,0.6337381707154898,0.5968169752531566,0.6714391423127454
2,per_pair,16,False,homeostasis,below_chance,0.201171875,0.169921875,0.232421875
2,per_pair,16,False,sham,retention,0.7968354644816773,0.7744453304398915,0.8197438822411764
2,per_pair,16,False,sham,worst_pair,0.1077518942236178,0.06376755585089543,0.15968721451426662
2,per_pair,16,False,sham,new_learning,0.9943863875311238,0.9921157209526035,0.9963684791474271
2,per_pair,16,False,sham,forgetting,0.19755092304944652,0.17469347666217755,0.2200846179838436
2,per_pair,16,False,sham,noise_retention,0.7617594943854673,0.7426496993750771,0.7811507673706954
2,per_pair,16,False,sham,reversal,0.8380489307780383,0.8062454469941088,0.8676899152072889
2,per_pair,16,False,sham,unchanged,0.6052020501374462,0.567934434930262,0.6424203486238862
2,per_pair,16,False,sham,below_chance,0.18619791666666669,0.15755208333333331,0.21484375
2,per_pair,16,False,random_ordinary,retention,0.7689990999107268,0.7474447288289022,0.789160861179954
